#timebase=4000000(ps)
,#voltbase=200000(mv/100)
#size=4000
-2.755E-05,0.000
-2.753E-05,0.016
-2.751E-05,0.008
-2.749E-05,-0.008
-2.747E-05,-0.008
-2.745E-05,0.008
-2.743E-05,-0.008
-2.741E-05,0.000
-2.739E-05,0.008
-2.737E-05,0.000
-2.735E-05,0.000
-2.733E-05,0.000
-2.731E-05,0.000
-2.729E-05,0.000
-2.727E-05,0.008
-2.725E-05,0.000
-2.723E-05,0.000
-2.721E-05,0.000
-2.719E-05,0.000
-2.717E-05,0.008
-2.715E-05,0.000
-2.713E-05,0.000
-2.711E-05,0.000
-2.709E-05,0.008
-2.707E-05,0.008
-2.705E-05,0.000
-2.703E-05,0.008
-2.701E-05,0.008
-2.699E-05,0.000
-2.697E-05,0.000
-2.695E-05,-0.008
-2.693E-05,0.000
-2.691E-05,0.008
-2.689E-05,0.008
-2.687E-05,0.000
-2.685E-05,-0.008
-2.683E-05,0.016
-2.681E-05,0.008
-2.679E-05,0.000
-2.677E-05,0.000
-2.675E-05,0.008
-2.673E-05,0.008
-2.671E-05,0.000
-2.669E-05,-0.008
-2.667E-05,0.000
-2.665E-05,0.000
-2.663E-05,0.000
-2.661E-05,0.008
-2.659E-05,0.016
-2.657E-05,0.016
-2.655E-05,-0.008
-2.653E-05,0.000
-2.651E-05,0.008
-2.649E-05,0.000
-2.647E-05,0.000
-2.645E-05,0.000
-2.643E-05,0.000
-2.641E-05,0.000
-2.639E-05,0.000
-2.637E-05,0.000
-2.635E-05,0.000
-2.633E-05,0.008
-2.631E-05,0.016
-2.629E-05,-0.008
-2.627E-05,-0.008
-2.625E-05,0.008
-2.623E-05,-0.008
-2.621E-05,0.000
-2.619E-05,0.008
-2.617E-05,0.016
-2.615E-05,-0.008
-2.613E-05,0.000
-2.611E-05,0.000
-2.609E-05,0.008
-2.607E-05,-0.008
-2.605E-05,-0.008
-2.603E-05,0.000
-2.601E-05,-0.008
-2.599E-05,0.000
-2.597E-05,-0.008
-2.595E-05,0.000
-2.593E-05,0.000
-2.591E-05,0.000
-2.589E-05,0.000
-2.587E-05,0.000
-2.585E-05,0.008
-2.583E-05,0.016
-2.581E-05,-0.008
-2.579E-05,0.000
-2.577E-05,0.000
-2.575E-05,0.016
