#timebase=4000000(ps)
,#voltbase=200000(mv/100)
#size=4000
-1.980E-05,0.008
-1.978E-05,0.008
-1.976E-05,0.008
-1.974E-05,0.016
-1.972E-05,0.008
-1.970E-05,0.016
-1.968E-05,0.008
-1.966E-05,0.016
-1.964E-05,0.008
-1.962E-05,0.016
-1.960E-05,0.008
-1.958E-05,0.000
-1.956E-05,0.000
-1.954E-05,0.000
-1.952E-05,0.000
-1.950E-05,0.000
-1.948E-05,0.016
-1.946E-05,0.008
-1.944E-05,0.008
-1.942E-05,0.008
-1.940E-05,0.008
-1.938E-05,0.008
-1.936E-05,0.008
-1.934E-05,0.008
-1.932E-05,0.008
-1.930E-05,0.008
-1.928E-05,0.008
-1.926E-05,0.008
-1.924E-05,0.008
-1.922E-05,0.016
-1.920E-05,0.016
-1.918E-05,0.008
-1.916E-05,0.000
-1.914E-05,0.016
-1.912E-05,0.016
-1.910E-05,0.008
-1.908E-05,0.008
-1.906E-05,0.008
-1.904E-05,0.008
-1.902E-05,0.008
-1.900E-05,0.008
-1.898E-05,0.016
-1.896E-05,0.000
-1.894E-05,0.016
-1.892E-05,0.000
-1.890E-05,0.000
-1.888E-05,0.016
-1.886E-05,0.008
-1.884E-05,0.008
-1.882E-05,0.008
-1.880E-05,0.008
-1.878E-05,0.008
-1.876E-05,0.008
-1.874E-05,0.008
-1.872E-05,0.008
-1.870E-05,0.016
-1.868E-05,0.008
-1.866E-05,0.016
-1.864E-05,0.008
-1.862E-05,0.008
-1.860E-05,0.008
-1.858E-05,0.008
-1.856E-05,0.016
-1.854E-05,0.008
-1.852E-05,0.008
-1.850E-05,0.008
-1.848E-05,0.008
-1.846E-05,0.008
-1.844E-05,0.008
-1.842E-05,0.008
-1.840E-05,0.008
-1.838E-05,0.008
-1.836E-05,0.000
-1.834E-05,0.016
-1.832E-05,0.008
-1.830E-05,0.008
-1.828E-05,0.008
-1.826E-05,0.008
-1.824E-05,0.008
-1.822E-05,0.008
-1.820E-05,0.008
-1.818E-05,0.008
-1.816E-05,0.008
-1.814E-05,0.008
-1.812E-05,0.016
-1.810E-05,0.008
-1.808E-05,0.008
-1.806E-05,0.008
-1.804E-05,0.008
-1.802E-05,0.008
-1.800E-05,0.000
-1.798E-05,0.016
-1.796E-05,0.016
-1.794E-05,0.008
-1.792E-05,0.000
-1.790E-05,0.000
-1.788E-05,0.016
-1.786E-05,0.016
-1.784E-05,0.008
-1.782E-05,0.016
-1.780E-05,0.016
-1.778E-05,0.008
-1.776E-05,0.008
-1.774E-05,0.008
-1.772E-05,0.008
-1.770E-05,0.000
-1.768E-05,0.016
-1.766E-05,0.008
-1.764E-05,0.008
-1.762E-05,0.008
-1.760E-05,0.008
-1.758E-05,0.008
-1.756E-05,0.008
-1.754E-05,0.008
-1.752E-05,0.016
-1.750E-05,0.008
-1.748E-05,0.000
-1.746E-05,0.016
-1.744E-05,0.008
-1.742E-05,0.008
-1.740E-05,0.008
-1.738E-05,0.008
-1.736E-05,0.008
-1.734E-05,0.016
-1.732E-05,0.008
-1.730E-05,0.000
