#timebase=2000000(ps)
,#voltbase=200000(mv/100)
#size=4000
-4.250E-06,-0.104
-4.240E-06,-0.104
-4.230E-06,-0.080
-4.220E-06,-0.056
-4.210E-06,0.048
-4.200E-06,0.072
-4.190E-06,0.056
-4.180E-06,0.040
-4.170E-06,-0.016
-4.160E-06,0.000
-4.150E-06,0.048
-4.140E-06,0.128
-4.130E-06,0.168
-4.120E-06,0.168
-4.110E-06,0.112
-4.100E-06,0.072
-4.090E-06,0.024
-4.080E-06,0.024
-4.070E-06,0.032
-4.060E-06,0.032
-4.050E-06,0.008
-4.040E-06,-0.032
-4.030E-06,-0.064
-4.020E-06,-0.040
-4.010E-06,-0.040
-4.000E-06,0.000
-3.990E-06,0.064
-3.980E-06,-0.024
-3.970E-06,0.000
-3.960E-06,0.016
-3.950E-06,-0.008
-3.940E-06,0.120
-3.930E-06,0.104
-3.920E-06,0.080
-3.910E-06,0.040
-3.900E-06,-0.024
-3.890E-06,-0.008
-3.880E-06,0.056
-3.870E-06,0.088
-3.860E-06,0.104
-3.850E-06,0.064
-3.840E-06,-0.048
-3.830E-06,-0.096
-3.820E-06,-0.136
-3.810E-06,-0.072
-3.800E-06,-0.064
-3.790E-06,-0.128
-3.780E-06,-0.072
-3.770E-06,-0.168
-3.760E-06,-0.120
-3.750E-06,0.008
-3.740E-06,-0.008
-3.730E-06,0.048
-3.720E-06,-0.024
-3.710E-06,-0.120
-3.700E-06,-0.064
-3.690E-06,-0.040
-3.680E-06,0.064
-3.670E-06,0.128
-3.660E-06,0.072
-3.650E-06,0.000
-3.640E-06,-0.040
-3.630E-06,-0.048
-3.620E-06,0.000
-3.610E-06,0.072
-3.600E-06,0.088
-3.590E-06,0.040
-3.580E-06,0.008
-3.570E-06,-0.024
-3.560E-06,-0.008
-3.550E-06,0.016
-3.540E-06,0.056
-3.530E-06,0.056
-3.520E-06,0.040
-3.510E-06,0.000
-3.500E-06,-0.008
-3.490E-06,-0.008
-3.480E-06,0.016
-3.470E-06,0.040
-3.460E-06,0.024
-3.450E-06,0.016
-3.440E-06,0.000
-3.430E-06,-0.024
-3.420E-06,-0.024
-3.410E-06,-0.024
-3.400E-06,-0.040
-3.390E-06,-0.064
-3.380E-06,-0.056
-3.370E-06,-0.048
-3.360E-06,-0.024
-3.350E-06,0.000
-3.340E-06,-0.016
-3.330E-06,-0.016
-3.320E-06,-0.064
-3.310E-06,-0.096
-3.300E-06,-0.080
-3.290E-06,-0.064
-3.280E-06,-0.048
-3.270E-06,0.024
-3.260E-06,0.040
-3.250E-06,0.072
-3.240E-06,0.056
-3.230E-06,0.008
-3.220E-06,0.000
-3.210E-06,-0.008
-3.200E-06,-0.008
-3.190E-06,0.032
-3.180E-06,0.048
-3.170E-06,0.040
-3.160E-06,0.040
-3.150E-06,0.032
-3.140E-06,0.016
-3.130E-06,0.032
-3.120E-06,0.048
-3.110E-06,0.024
-3.100E-06,0.064
-3.090E-06,0.040
-3.080E-06,-0.008
-3.070E-06,0.064
-3.060E-06,0.032
-3.050E-06,0.048
-3.040E-06,0.104
-3.030E-06,0.024
-3.020E-06,0.064
